sentence_id,natural_bytes,semantic_bytes,compression_ratio,preservation_rate
1,27,30,0.9,1
2,29,30,0.966666666666667,1
3,32,30,1.06666666666667,1
4,22,30,0.733333333333333,1
5,24,30,0.8,1
6,20,30,0.666666666666667,1
7,23,30,0.766666666666667,1
8,19,30,0.633333333333333,1
9,26,30,0.866666666666667,1
10,23,30,0.766666666666667,1
11,26,30,0.866666666666667,1
12,39,30,1.3,1
13,33,30,1.1,1
14,36,30,1.2,1
15,33,30,1.1,1
16,32,30,1.06666666666667,1
17,36,30,1.2,1
18,34,30,1.13333333333333,1
19,34,30,1.13333333333333,1
20,38,30,1.26666666666667,1
21,33,30,1.1,1
22,29,30,0.966666666666667,1
23,31,30,1.03333333333333,1
24,33,30,1.1,1
25,29,30,0.966666666666667,1
26,34,30,1.13333333333333,1
27,26,30,0.866666666666667,1
28,26,30,0.866666666666667,1
29,28,30,0.933333333333333,1
30,30,30,1,1
31,39,30,1.3,1
32,29,30,0.966666666666667,1
33,33,30,1.1,1
34,29,30,0.966666666666667,1
35,39,30,1.3,1
36,36,30,1.2,1
37,38,30,1.26666666666667,1
38,39,30,1.3,1
39,38,30,1.26666666666667,1
40,34,30,1.13333333333333,1
41,35,30,1.16666666666667,1
42,25,30,0.833333333333333,1
43,28,30,0.933333333333333,1
44,21,30,0.7,1
45,31,30,1.03333333333333,1
46,29,30,0.966666666666667,1
47,33,30,1.1,1
48,38,30,1.26666666666667,1
49,24,30,0.8,1
50,25,30,0.833333333333333,1
